aet,def,pdsi,pet,pr,ro,soil,srad,swe,tmmn,tmmx,vap,vpd,vs,clear_perc,clear_views,duration,flooded,jrc_perm_water
1216.7961982199768,388.2450939457203,162.76044390726307,1604.9357433249102,116.51328425447753,5.910119767058575,458.8997692561258,2531.0239534117145,0,234.59606636633347,345.32490935062094,2905.8525436765203,130.28522140424138,275.7923964399517,,,,,
1300.3123983650519,285.4929899353933,146.3056520019339,1585.827341449481,128.40443018503072,6.410099767063694,483.5660132729755,2528.832703379775,0,233.10928229244516,340.94185382147447,2907.239089350858,122.10943611831412,286.71054366457207,,,,,
1456.500889738353,100.0631604384983,152.5947406577475,1556.5720248687383,151.11753333772728,7.556866363496563,598.187701838793,2546.3364309409294,0,231.30295041631,334.1949735275384,2905.3025989147422,110.69338078604554,298.0813945824824,,,,,
1488.5744749515923,45.77111364877616,207.88371977558228,1534.3364778312905,159.66401866838794,8.007273720272082,685.3872697482751,2584.210267613328,0,234.14463035599056,324.88143587706674,2926.4621170746263,98.13539546199303,313.9923290799864,,,,,
1223.9905065377425,377.79204483023807,183.64909350620795,1601.7816283924838,118.0607625535655,5.88858367212394,411.547544225909,2547.530930666958,0,226.7502032743655,350.7565542248102,2666.0962971102067,155.8473134820348,210.60026370728485,,,,,
1466.6727756169387,89.73852374359988,175.4692025402686,1556.3718329048286,154.18843254883862,7.735776913441888,477.65653635704405,2506.1359351308597,0,228.51603050080232,341.8412112422263,2672.4821016546916,142.95950073615052,215.45546838947857,,,,,
1524.6485346456357,0.5006371105936116,219.85665011643763,1525.1491717562292,177.30939408585627,8.833120963135462,755.8374049826443,2510.437804824467,0,227.30003515092966,333.77369392328325,2764.3885935234434,120.78724900039549,244.87396194911912,,,,,
1515.876950322811,0.0,317.04014974892385,1515.876950322811,190.8682523314203,9.600071736011483,1057.2350699426106,2551.6180281563834,0,227.31355362266868,326.2325367647059,2827.5047525107593,103.71563396700147,283.8729151721664,,,,,
1251.2632990415902,350.29262287874815,282.99219643014163,1601.503275301152,120.82236437175776,6.047524839532232,450.6639409126882,2542.252703772093,0,220.84617075529772,348.91800756176923,2464.9782159500587,168.1919458366307,201.36733931240667,,,,,
1479.1631056009862,54.74712037281286,284.92965796183967,1533.8999164688305,158.96619185790922,7.963114393739569,554.0005495471736,2505.3869691374325,0,222.9014112371407,338.5276092499783,2540.3900026378283,146.5826738767257,198.70076057328788,,,,,
1488.5524447862888,0.0,291.4516646522363,1488.5524447862888,181.0773761125153,9.02529392374465,869.9972090979029,2506.0972640369237,0,222.22870014284175,328.6655312603015,2597.3116580595574,126.030809801121,203.81632787605793,,,,,
1479.2496922535838,0.0,362.01209003780906,1479.2496922535838,199.18361470148625,9.976831091180875,1153.4931636331673,2536.0852237756103,0,219.6509715994021,324.0811571265278,2637.3704167765763,113.54198540402714,218.22509452211386,,,,,
1230.3475699558164,358.3586046204908,396.0220473479434,1588.7764051612323,118.12951443079147,5.925351152924619,455.776998659134,2555.206031697182,0,216.09757545116818,342.48222803508196,2382.090915085835,162.791154683138,204.4860088365241,,,,,
